GARMIN CONSOLIDATED SLEEP REPORT
===============================

Date         | Deep     | REM      | Light    | Total
2017-10-15   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-10-16   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-10-17   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-10-18   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-10-19   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-10-20   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-10-21   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-10-22   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-10-23   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-10-24   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-10-25   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-10-26   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-10-27   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-10-28   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-10-29   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-10-30   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-10-31   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-11-01   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-11-02   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-11-03   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-11-04   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-11-05   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-11-06   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-11-07   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-11-08   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-11-09   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
